Language_ID,Feature_ID,IPA,Value
Chechen,heart,dog,23
Ingush,heart,dog,23
Bats,heart,dok',23
Avar,heart,rak',23
Andi,heart,rokw'o,23
Akhvakh,heart,rakw'a,23
Tindi,heart,rakw'a,23
Xvarshi,heart,lok'o,23
Hunzib,heart,rek'u,23
Lak,heart,qqʕuk',23
Dargi,heart,urč'e,23
Lezgi,heart,rik',23
NTab,heart,juk'u,23
Agul,heart,jirk'w,23
Rutul,heart,jik'j,23
Kryz,heart,jik',23
Archi,heart,ikw',23
Udi,heart,uk',23
Xinalug,heart,ung,23
Chechen,axe,dig,24
Ingush,axe,dig,24
Bats,axe,dik',24
Lak,axe,rikw',24
NTab,axe,jak'a,24
STab,axe,juk',24
Agul,axe,jakw',24
Tsaxur,axe,jakw',24
Budux,axe,jok',24
Archi,axe,k'iri,24
Chechen,earth,laatta,26
Ingush,earth,laetta,26
Andi,earth,onšši,26
Akhvakh,earth,ũssi,26
Cham,earth,ũss,26
Tindi,earth,unšši,26
Lak,earth,aʕršši,26
Dargi,earth,ʕanččija,26
NTab,earth,linʒi,26
Udi,earth,oč'ʕi,26
Xinalug,earth,inč'i,26
Chechen,we,txo,27
Ingush,we,txo,27
Bats,we,txo,27
Avar,we,niƛ,27
Andi,we,iƛil,27
Akhvakh,we,iƛƛi,27
Cham,we,iƛi,27
Tsez,we,eli,27
Hunzib,we,ile,27
Dargi,we,nux’x’a,27
NTab,we,ix’u,27
Agul,we,šin,27
Udi,we,jan,27
Xinalug,we,kin,27
Chechen,five,pxi,28
Ingush,five,pxi,28
Bats,five,pxi,28
Tsez,five,ɬeno,28
Hunzib,five,ɬino,28
Lak,five,xxʕu=j=a,28
NTab,five,xuw,28
Agul,five,ʕafud,28
Rutul,five,xud,28
Tsaxur,five,xo=D=le,28
Kryz,five,fy=r,28
Archi,five,ɬɬo,28
Udi,five,qo,28
Xinalug,five,pxu,28
Chechen,name,c'e,31
Ingush,name,c'i,31
Bats,name,c'e,31
Avar,name,c'ar,31
Andi,name,cc'er,31
Cham,name,s'e:,31
Tindi,name,cera,31
Tsez,name,ci,31
Bezhta,name,caaro,31
Lak,name,c'a,31
Dargi,name,zu,31
Lezgi,name,"t""war",31
NTab,name,ʒur,31
STab,name,ccwur,31
Agul,name,ttur,31
Rutul,name,dur,31
Kryz,name,tyr,31
Archi,name,c'or,31
Udi,name,c'i,31
Xinalug,name,c'uu,31
Chechen,right,aettu,32
Ingush,right,eatta,32
Bats,right,att'an,32
Avar,right,hančč'il,32
Cham,right,hanc'iral,32
Lak,right,urč'a=,32
Lezgi,right,"et""i",32
STab,right,arč'ul,32
Agul,right,hʕarččler,32
Rutul,right,haʕrč'ed,32
Archi,right,oʕrcu=,32
Udi,right,ač'ʕa,32
Chechen,winter,ʕa,34
Ingush,winter,ʕa,34
Bats,winter,ʕa,34
Avar,winter,ƛ'in,34
Andi,winter,ƛ'ina,34
Tsez,winter,eƛni,34
Hunzib,winter,ƛini,34
Lak,winter,k'wi,34
Dargi,winter,ga,34
Rutul,winter,qʕynni,34
Chechen,meat,dilxa,35
Ingush,meat,dulx,35
Bats,meat,ditx,35
Andi,meat,riƛ'i,35
Cham,meat,jiƛ',35
Tindi,meat,riƛ'i,35
Tsez,meat,reƛ,35
Xvarshi,meat,liƛ,35
Lak,meat,dik',35
Dargi,meat,dig,35
Lezgi,meat,jak,35
NTab,meat,jakka,35
Agul,meat,jakk,35
Rutul,meat,jak,35
Kryz,meat,jek,35
Archi,meat,aƛ',35
Udi,meat,jeq'ʕ,35
Xinalug,meat,"lyk""a",35
Chechen,yoke,duq',36
Ingush,yoke,duq',36
Avar,yoke,ruƛ',36
Andi,yoke,ruƛ'o,36
Tindi,yoke,ruƛ'a,36
Tsez,yoke,raʕƛ'u,36
Hunzib,yoke,ryƛ'u,36
Lak,yoke,duk',36
Dargi,yoke,duk',36
